MAINTENANCE_ID,START_TIME,END_TIME,PART_TYPE,MAINTENANCE_LOCAL,MAINTENANCE_TYPE,SERVICE_NAME,OBSERVATION,PART_NUMBER,MACHINERY_ID,MACHINERY_HOURMETER,OPERATION,REPAIR_TIME,START_YEAR,START_MONTH,START_DATE_CONCAT,TIME_SINCE_LAST_REPAIR
81213,2020-09-28 16:20:00,2020-09-28 18:10:00,ELETRODOS,,Preventiva,"ELETRODO CROMO NIQUEL 2,5MM",Estalando de parafusos no cabeçote da hv 8,1.0,HV 08,2342,Corte,1.0,2020,9,2020-9,4.0
81342,2020-10-14 13:20:00,2020-10-14 14:20:00,MANGUEIRA HIDRÁULICA,,Corretiva,"MANGUEIRA 3/8""",Desgaste da manguera,2.6,HV 08,2484,Corte,1.0,2020,10,2020-10,142.0
81342,2020-10-14 13:20:00,2020-10-14 14:20:00,TERMINAL HIDRAULICO,,Corretiva,TERMINAL P/ MANGUEIRA DE 3/8'',Desgaste da manguera,2.0,HV 08,2484,Corte,1.0,2020,10,2020-10,0.0
81346,2020-10-23 13:30:00,2020-10-23 14:40:00,TERMINAL HIDRAULICO,,Corretiva,TERMINAL P/ MANGUEIRA DE 1'',Batida na teca,2.0,HV 08,2501,Corte,1.0,2020,10,2020-10,17.0
81346,2020-10-23 13:30:00,2020-10-23 14:40:00,MANGUEIRA HIDRÁULICA,,Corretiva,"MANGUEIRA 1""",Batida na teca,1.4,HV 08,2501,Corte,1.0,2020,10,2020-10,0.0
81682,2020-11-05 08:10:00,2020-11-05 11:00:00,TERMINAL HIDRAULICO,,Corretiva,TERMINAL P/ MANGUEIRA DE 1'',Batida na galha da teca ,4.0,HV 08,2554,Corte,2.0,2020,11,2020-11,53.0
81682,2020-11-05 08:10:00,2020-11-05 11:00:00,MANGUEIRA HIDRÁULICA,,Corretiva,"MANGUEIRA 1""",Batida na galha da teca ,3.2,HV 08,2554,Corte,2.0,2020,11,2020-11,0.0
81620,2020-11-06 07:30:00,2020-11-06 08:20:00,MANUAL REPAIR,,Corretiva,SERVICE WITHOUT PARTS,Desgaste Manguera comprada Santa maria,1.0,HV 08,2558,Corte,0.0,2020,11,2020-11,4.0
81683,2020-11-09 11:40:00,2020-11-09 16:20:00,MANGUEIRA HIDRÁULICA,,Corretiva,"MANGUEIRA 3/8""",Batida na Teca ,3.2,HV 08,2579,Corte,4.0,2020,11,2020-11,21.0
81683,2020-11-09 11:40:00,2020-11-09 16:20:00,TERMINAL HIDRAULICO,,Corretiva,TERMINAL P/ MANGUEIRA DE 1'',Batida na Teca ,2.0,HV 08,2579,Corte,4.0,2020,11,2020-11,0.0
81683,2020-11-09 11:40:00,2020-11-09 16:20:00,MANGUEIRA HIDRÁULICA,,Corretiva,"MANGUEIRA 1""",Batida na Teca ,2.45,HV 08,2579,Corte,4.0,2020,11,2020-11,0.0
81683,2020-11-09 11:40:00,2020-11-09 16:20:00,TERMINAL HIDRAULICO,,Corretiva,TERMINAL P/ MANGUEIRA DE 3/8'',Batida na Teca ,2.0,HV 08,2579,Corte,4.0,2020,11,2020-11,0.0
81738,2020-12-07 16:00:00,2020-12-07 16:25:00,CONJUNTO DE CORTE,,Corretiva,SABRE DE CORTE,Sabre desgastado,1.0,HV 08,2769,Corte,0.0,2020,12,2020-12,190.0
81738,2020-12-07 16:00:00,2020-12-07 16:25:00,CONJUNTO DE CORTE,,Corretiva,PONTA ESTRELA DE CORTE,Sabre desgastado,1.0,HV 08,2769,Corte,0.0,2020,12,2020-12,0.0
81737,2020-12-08 16:00:00,2020-12-08 16:30:00,CONJUNTO DE CORTE,,Corretiva,SABRE DE CORTE,Tempo de uso do sabre,1.0,HV 08,2782,Corte,0.0,2020,12,2020-12,13.0
81737,2020-12-08 16:00:00,2020-12-08 16:30:00,CONJUNTO DE CORTE,,Corretiva,PONTA ESTRELA DE CORTE,Tempo de uso do sabre,2.0,HV 08,2782,Corte,0.0,2020,12,2020-12,0.0
81933,2021-01-29 08:00:00,2021-01-29 16:00:00,FILTROS,,Preventiva,FILTRO DO MOTOR,Revisao e  lavagem do tanque de combustivel,1.0,HV 08,2910,Corte,8.0,2021,1,2021-1,128.0
81931,2021-02-02 18:00:00,2021-02-02 19:30:00,MANGUEIRA HIDRÁULICA,,Corretiva,"MANGUEIRA 3/8""",Mangueira do rolo desgaste,1.15,HV 08,2915,Corte,1.0,2021,2,2021-2,5.0
81931,2021-02-02 18:00:00,2021-02-02 19:30:00,TERMINAL HIDRAULICO,,Corretiva,TERMINAL P/ MANGUEIRA DE 3/8'',Mangueira do rolo desgaste,2.0,HV 08,2915,Corte,1.0,2021,2,2021-2,0.0
82024,2021-02-08 16:40:00,2021-02-08 19:30:00,MANUAL REPAIR,,Corretiva,SERVICE WITHOUT PARTS,Troca de anel orign do cabecote ,1.0,HV 08,2955,Corte,2.0,2021,2,2021-2,40.0
82027,2021-02-09 16:00:00,2021-02-09 16:00:00,MANGUEIRA HIDRÁULICA,,Corretiva,"MANGUEIRA 3/8""",Desgaste natural ,3.6,HV 08,2968,Corte,0.0,2021,2,2021-2,13.0
82028,2021-02-09 16:00:00,2021-02-09 17:55:00,MANGUEIRA HIDRÁULICA,,Corretiva,"MANGUEIRA 3/8""",Mangueirade lubrificacao  entupida,3.6,HV 08,2968,Corte,1.0,2021,2,2021-2,0.0
82027,2021-02-09 16:00:00,2021-02-09 16:00:00,MANGUEIRA HIDRÁULICA,,Corretiva,"MANGUEIRA 1/2""",Desgaste natural ,0.4,HV 08,2968,Corte,0.0,2021,2,2021-2,0.0
82028,2021-02-09 16:00:00,2021-02-09 17:55:00,MANGUEIRA HIDRÁULICA,,Corretiva,"MANGUEIRA 1/2""",Mangueirade lubrificacao  entupida,0.4,HV 08,2968,Corte,1.0,2021,2,2021-2,0.0
82027,2021-02-09 16:00:00,2021-02-09 16:00:00,TERMINAL HIDRAULICO,,Corretiva,TERMINAL P/ MANGUEIRA DE 3/8'',Desgaste natural ,2.0,HV 08,2968,Corte,0.0,2021,2,2021-2,0.0
82028,2021-02-09 16:00:00,2021-02-09 17:55:00,TERMINAL HIDRAULICO,,Corretiva,TERMINAL P/ MANGUEIRA DE 1/2'',Mangueirade lubrificacao  entupida,2.0,HV 08,2968,Corte,1.0,2021,2,2021-2,0.0
82027,2021-02-09 16:00:00,2021-02-09 16:00:00,TERMINAL HIDRAULICO,,Corretiva,TERMINAL P/ MANGUEIRA DE 1/2'',Desgaste natural ,2.0,HV 08,2968,Corte,0.0,2021,2,2021-2,0.0
82028,2021-02-09 16:00:00,2021-02-09 17:55:00,TERMINAL HIDRAULICO,,Corretiva,TERMINAL P/ MANGUEIRA DE 3/8'',Mangueirade lubrificacao  entupida,2.0,HV 08,2968,Corte,1.0,2021,2,2021-2,0.0
82122,2021-02-22 08:40:00,2021-03-22 09:04:00,MANGUEIRA HIDRÁULICA,,Corretiva,"MANGUEIRA 3/8""",Mangueira da lubrificacao,1.3,HV 08,2975,Corte,672.0,2021,2,2021-2,7.0
82199,2021-03-04 08:10:00,2021-03-04 14:20:00,TERMINAL HIDRAULICO,,Corretiva,TERMINAL P/ MANGUEIRA DE 1'',Desgaste,2.0,HV 08,3089,Corte,6.0,2021,3,2021-3,114.0
82199,2021-03-04 08:10:00,2021-03-04 14:20:00,MANGUEIRA HIDRÁULICA,,Corretiva,"MANGUEIRA 1""",Desgaste,1.62,HV 08,3089,Corte,6.0,2021,3,2021-3,0.0
82179,2021-03-10 14:00:00,2021-03-10 16:40:00,MANUAL REPAIR,,Corretiva,SERVICE WITHOUT PARTS,Troca do anel da mangueira de alimentacao e conserto da red can,1.0,HV 08,3150,Corte,2.0,2021,3,2021-3,61.0
82176,2021-03-09 08:00:00,2021-03-09 18:00:00,MANUAL REPAIR,,Corretiva,SERVICE WITHOUT PARTS,Conserto da mangueira rede can,1.0,HV 08,3155,Corte,10.0,2021,3,2021-3,5.0
82181,2021-03-11 16:00:00,2021-03-11 19:00:00,MANUAL REPAIR,,Corretiva,SERVICE WITHOUT PARTS,CabobRede can,1.0,HV 08,3160,Corte,3.0,2021,3,2021-3,5.0
82227,2021-03-16 17:20:00,2021-03-16 17:40:00,MANUAL REPAIR,,Corretiva,SERVICE WITHOUT PARTS,Reaperto de mangueira e troca de faca,1.0,HV 08,3195,Corte,0.0,2021,3,2021-3,35.0
82261,2021-03-25 17:00:00,2021-03-25 19:00:00,MANGUEIRA HIDRÁULICA,,Corretiva,"MANGUEIRA 3/8""",Batel na cepa ,1.3,HV 08,3200,Corte,2.0,2021,3,2021-3,5.0
82261,2021-03-25 17:00:00,2021-03-25 19:00:00,TERMINAL HIDRAULICO,,Corretiva,TERMINAL P/ MANGUEIRA DE 3/8'',Batel na cepa ,2.0,HV 08,3200,Corte,2.0,2021,3,2021-3,0.0
82515,2021-04-12 15:00:00,2021-04-12 15:35:00,MANUAL REPAIR,,Corretiva,SERVICE WITHOUT PARTS,Tempo de uso trocas de baterias,1.0,HV 08,3304,Corte,0.0,2021,4,2021-4,104.0
82516,2021-04-14 08:36:00,2021-04-14 19:40:00,MANUAL REPAIR,,Corretiva,SERVICE WITHOUT PARTS,Desmontagem e mantagem do alternador,1.0,HV 08,3306,Corte,11.0,2021,4,2021-4,2.0
82517,2021-04-19 13:30:00,2021-04-19 16:00:00,TERMINAL HIDRAULICO,,Corretiva,TERMINAL P/ MANGUEIRA DE 1'',Vasamento no pe da mangueira ,2.0,HV 08,3329,Corte,2.0,2021,4,2021-4,23.0
82517,2021-04-19 13:30:00,2021-04-19 16:00:00,MANGUEIRA HIDRÁULICA,,Corretiva,"MANGUEIRA 1""",Vasamento no pe da mangueira ,1.62,HV 08,3329,Corte,2.0,2021,4,2021-4,0.0
82522,2021-05-03 11:00:00,2021-05-03 12:00:00,MANUAL REPAIR,,Corretiva,SERVICE WITHOUT PARTS,Troca de vedacao da valvola do comando,1.0,HV 08,3401,Corte,1.0,2021,5,2021-5,72.0
82521,2021-05-04 18:20:00,2021-05-04 19:00:00,MANGUEIRA HIDRÁULICA,,Corretiva,"MANGUEIRA 3/4""",Mangueira do rolo,1.3,HV 08,3415,Corte,0.0,2021,5,2021-5,14.0
82520,2021-05-03 17:00:00,2021-05-03 18:20:00,FILTROS,,Corretiva,FILTRO DE COMBUSTIVEL,Troca de oleo do motor e filtros,1.0,HV 08,3415,Corte,1.0,2021,5,2021-5,0.0
82520,2021-05-03 17:00:00,2021-05-03 18:20:00,FILTROS,,Corretiva,FILTRO DO MOTOR,Troca de oleo do motor e filtros,1.0,HV 08,3415,Corte,1.0,2021,5,2021-5,0.0
82520,2021-05-03 17:00:00,2021-05-03 18:20:00,FILTROS,,Corretiva,FILTRO HIDRAULICO,Troca de oleo do motor e filtros,1.0,HV 08,3415,Corte,1.0,2021,5,2021-5,0.0
82521,2021-05-04 18:20:00,2021-05-04 19:00:00,TERMINAL HIDRAULICO,,Corretiva,TERMINAL P/ MANGUEIRA DE 1/2'',Mangueira do rolo,2.0,HV 08,3415,Corte,0.0,2021,5,2021-5,0.0
